order_id,customer_id,order_date,items,order_total,payment_method,order_status
ORD100001,CUST00111,2025-09-14,PROD0073:3:197.85,593.55,Mastercard,Delivered
ORD100002,CUST00650,2025-11-01,PROD0105:4:114.17,456.68,Mastercard,Delivered
ORD100003,CUST00701,2026-02-16,PROD0242:4:23.74|PROD0193:2:29.24,153.44,Visa,Processing
ORD100004,CUST00060,2025-10-06,PROD0168:3:193.82,581.46,Apple Pay,Processing
ORD100005,CUST00807,2026-04-29,PROD0251:5:9.74,48.7,Store Credit,Delivered
ORD100006,CUST00030,2025-09-07,PROD0071:2:156.65|PROD0256:1:7.79,321.09,PayPal,Delivered
ORD100007,CUST00711,2026-04-02,PROD0216:2:7.93,15.86,Apple Pay,Delivered
ORD100008,CUST00026,2025-10-20,PROD0295:5:56.15,280.75,PayPal,Delivered
ORD100009,CUST00090,2026-06-19,PROD0231:5:10.76,53.8,PayPal,Delivered
ORD100010,CUST01089,2026-02-11,PROD0041:3:26.94|PROD0077:5:34.86|PROD0004:3:9.47,283.53,Store Credit,Delivered
ORD100011,CUST01164,2026-03-22,PROD0190:3:68.53,205.59,Apple Pay,Delivered
ORD100012,CUST00407,2026-01-12,PROD0019:5:32.14,160.7,Apple Pay,Delivered
ORD100013,CUST00749,2026-06-19,PROD0141:3:98.61,295.83,Apple Pay,Returned
ORD100014,CUST00749,2026-06-06,PROD0052:3:62.04|PROD0196:3:161.82|PROD0263:4:22.13|PROD0041:4:26.94,867.86,Apple Pay,Delivered
ORD100015,CUST01118,2026-06-10,PROD0125:1:19.13,19.13,PayPal,Delivered
ORD100016,CUST00367,2026-07-12,PROD0003:4:159.09,636.36,PayPal,Delivered
ORD100017,CUST00901,2026-07-28,PROD0033:5:50.93,254.65,Apple Pay,Delivered
ORD100018,CUST00272,2025-08-05,PROD0164:3:106.62,319.86,Mastercard,Delayed
ORD100019,CUST00765,2026-05-18,PROD0250:2:8.48|PROD0288:5:79.59|PROD0177:3:58.87|PROD0043:3:53.62,752.38,Amex,Delivered
ORD100020,CUST00396,2025-08-10,PROD0146:4:25.49|PROD0285:2:33.77,169.5,Store Credit,Delivered
ORD100021,CUST00905,2026-05-18,PROD0082:4:33.12,132.48,Amex,Shipped
ORD100022,CUST00432,2026-07-16,PROD0163:4:76.48|PROD0258:2:29.27|PROD0275:4:91.6|PROD0273:4:84.74,1069.82,Amex,Processing
ORD100023,CUST00921,2025-10-18,PROD0091:5:94.44|PROD0205:3:97.84|PROD0148:4:59.66|PROD0002:2:96.62,1197.6,Visa,Out for Delivery
ORD100024,CUST00365,2026-06-07,PROD0042:4:241.7|PROD0293:1:26.46,993.26,Mastercard,Delivered
ORD100025,CUST00686,2026-06-29,PROD0262:2:174.58,349.16,Mastercard,Delayed
ORD100026,CUST00972,2025-08-14,PROD0237:4:10.39,41.56,Store Credit,Delivered
ORD100027,CUST00728,2025-08-02,PROD0209:4:12.86|PROD0267:4:85.78,394.56,PayPal,Delivered
ORD100028,CUST00030,2025-08-19,PROD0262:4:174.58,698.32,Visa,Delivered
ORD100029,CUST01102,2026-01-19,PROD0125:4:19.13,76.52,Visa,Delivered
ORD100030,CUST01032,2026-03-14,PROD0231:3:10.76,32.28,Store Credit,Shipped
ORD100031,CUST00325,2026-05-16,PROD0244:3:28.97|PROD0226:2:121.6,330.11,Apple Pay,Processing
ORD100032,CUST00605,2025-12-26,PROD0132:2:14.3|PROD0117:5:34.38|PROD0015:3:33.9,302.2,Visa,Delivered
ORD100033,CUST00994,2026-06-26,PROD0269:4:144.62,578.48,PayPal,Delivered
