product_id,product_name,category,unit_price,stock_quantity,warehouse
PROD0001,Ceramic Pan,Home & Kitchen,121.73,1999,"Warehouse C - Columbus, OH"
PROD0002,Fleece Scarf,Apparel,96.62,462,"Warehouse A - Dallas, TX"
PROD0003,Insulated Tent,Sports & Outdoors,159.09,722,"Warehouse B - Reno, NV"
PROD0004,Revised Cookbook,Books,9.47,1012,"Warehouse A - Dallas, TX"
PROD0005,Fragrance-Free Moisturizer,Beauty,41.87,958,"Warehouse D - Newark, NJ"
PROD0006,Gluten-Free Olive Oil,Grocery,6.78,427,"Warehouse C - Columbus, OH"
PROD0007,USB-C Hub,Electronics,167.26,1736,"Warehouse A - Dallas, TX"
PROD0008,Ceramic Toaster,Home & Kitchen,165.66,789,"Warehouse D - Newark, NJ"
PROD0009,Merino Jeans,Apparel,31.16,819,"Warehouse B - Reno, NV"
PROD0010,Adjustable Tent,Sports & Outdoors,98.26,1405,"Warehouse C - Columbus, OH"
PROD0011,Illustrated Novel,Books,22.2,219,"Warehouse A - Dallas, TX"
PROD0012,Fragrance-Free Moisturizer,Beauty,54.17,383,"Warehouse C - Columbus, OH"
PROD0013,Organic Olive Oil,Grocery,24.34,927,"Warehouse C - Columbus, OH"
PROD0014,USB-C Keyboard,Electronics,232.45,172,"Warehouse C - Columbus, OH"
PROD0015,Electric Toaster,Home & Kitchen,33.9,1028,"Warehouse D - Newark, NJ"
PROD0016,Merino Hoodie,Apparel,12.58,558,"Warehouse C - Columbus, OH"
PROD0017,Adjustable Yoga Mat,Sports & Outdoors,145.85,1499,"Warehouse D - Newark, NJ"
PROD0018,Revised Field Guide,Books,13.24,361,"Warehouse C - Columbus, OH"
PROD0019,Travel-Size Face Wash,Beauty,32.14,887,"Warehouse A - Dallas, TX"
PROD0020,Organic Pasta,Grocery,33.7,449,"Warehouse A - Dallas, TX"
PROD0021,Wireless Mouse,Electronics,148.05,488,"Warehouse A - Dallas, TX"
PROD0022,Compact Blender,Home & Kitchen,55.37,1807,"Warehouse D - Newark, NJ"
PROD0023,Waterproof Socks,Apparel,18.55,1503,"Warehouse C - Columbus, OH"
PROD0024,Lightweight Water Bottle,Sports & Outdoors,45.08,416,"Warehouse C - Columbus, OH"
PROD0025,Collector's Atlas,Books,16.49,6,"Warehouse A - Dallas, TX"
PROD0026,Fragrance-Free Face Wash,Beauty,54.92,1274,"Warehouse D - Newark, NJ"
PROD0027,Single-Origin Pasta,Grocery,8.85,1395,"Warehouse A - Dallas, TX"
