order_id,carrier,tracking_number,shipped_date,estimated_delivery,current_status,last_location
ORD100001,UPS,UP4792261745,2025-09-16,2025-09-18,Delivered,"Raleigh, NC"
ORD100002,DHL,UP2480526205,2025-11-02,2025-11-09,Delivered,"Austin, TX"
ORD100005,USPS,US9596770204,2026-04-30,2026-05-05,Delivered,"Phoenix, AZ"
ORD100006,UPS,DH5942423191,2025-09-08,2025-09-15,Delivered,"Boston, MA"
ORD100007,FedEx,US8999232625,2026-04-05,2026-04-08,Delivered,"Portland, OR"
ORD100008,DHL,DH4312964517,2025-10-21,2025-10-30,Delivered,"Raleigh, NC"
ORD100009,USPS,FE4373674167,2026-06-22,2026-06-29,Delivered,"Nashville, TN"
ORD100010,FedEx,DH2209952243,2026-02-14,2026-02-23,Delivered,"Boston, MA"
ORD100011,USPS,UP6554422145,2026-03-24,2026-03-26,Delivered,"Miami, FL"
ORD100012,UPS,FE3297743956,2026-01-13,2026-01-21,Delivered,"Chicago, IL"
ORD100013,DHL,FE5623687550,2026-06-22,2026-06-27,Returned to Sender,"Salt Lake City, UT"
ORD100014,DHL,FE4408678433,2026-06-08,2026-06-11,Delivered,"Nashville, TN"
ORD100015,UPS,US9786395766,2026-06-11,2026-06-19,Delivered,"Atlanta, GA"
ORD100016,USPS,DH2366484208,2026-07-15,2026-07-19,Delivered,"Atlanta, GA"
ORD100017,DHL,US7620511373,2026-07-31,2026-08-09,Delivered,"Columbus, OH"
ORD100018,UPS,DH6393158644,2025-08-07,2025-08-16,Delayed - carrier exception,"Chicago, IL"
ORD100019,UPS,UP7976165649,2026-05-20,2026-05-29,Delivered,"Austin, TX"
ORD100020,FedEx,FE2699732017,2025-08-11,2025-08-19,Delivered,"Columbus, OH"
ORD100021,USPS,US8604238207,2026-05-19,2026-05-27,In Transit,"Salt Lake City, UT"
ORD100023,DHL,UP3733389690,2025-10-20,2025-10-28,Out for Delivery,"Boston, MA"
ORD100024,FedEx,US9687514170,2026-06-08,2026-06-17,Delivered,"Raleigh, NC"
ORD100025,UPS,UP6153038644,2026-07-01,2026-07-08,Delayed - carrier exception,"San Diego, CA"
ORD100026,UPS,DH1684044771,2025-08-16,2025-08-21,Delivered,"Minneapolis, MN"
ORD100027,FedEx,DH4118282638,2025-08-04,2025-08-07,Delivered,"San Diego, CA"
ORD100028,USPS,FE4100941554,2025-08-20,2025-08-24,Delivered,"Nashville, TN"
ORD100029,DHL,UP8546174134,2026-01-21,2026-01-24,Delivered,"Portland, OR"
ORD100030,USPS,FE6545740371,2026-03-15,2026-03-19,In Transit,"Seattle, WA"
ORD100032,DHL,DH6902842342,2025-12-28,2026-01-04,Delivered,"San Diego, CA"
ORD100033,UPS,US1886606929,2026-06-27,2026-06-30,Delivered,"Phoenix, AZ"
ORD100035,FedEx,FE3246047970,2025-11-24,2025-11-30,Returned to Sender,"Miami, FL"
ORD100036,UPS,FE2300347998,2025-11-02,2025-11-08,Delivered,"Denver, CO"
ORD100038,DHL,US3445250621,2025-09-06,2025-09-11,Delivered,"Columbus, OH"
ORD100040,UPS,US2889973756,2026-06-04,2026-06-10,In Transit,"Atlanta, GA"
ORD100041,USPS,FE7198489640,2026-04-06,2026-04-14,Delivered,"Raleigh, NC"
ORD100042,DHL,FE8235930367,2025-11-02,2025-11-09,Delivered,"Minneapolis, MN"
ORD100044,USPS,DH6617889740,2026-01-15,2026-01-22,Delivered,"Nashville, TN"
ORD100045,USPS,FE1868498641,2026-03-03,2026-03-07,Returned to Sender,"Portland, OR"
ORD100046,USPS,FE1319661174,2025-12-28,2026-01-06,In Transit,"Nashville, TN"
ORD100047,USPS,DH9261825255,2026-04-02,2026-04-09,Delivered,"Atlanta, GA"
ORD100049,FedEx,UP8960435535,2026-05-15,2026-05-21,In Transit,"San Diego, CA"
ORD100050,FedEx,UP7059249464,2025-11-17,2025-11-23,Delivered,"Atlanta, GA"
ORD100051,USPS,FE4154369191,2025-08-25,2025-09-03,Returned to Sender,"Atlanta, GA"
ORD100052,FedEx,DH8807201590,2025-09-28,2025-10-03,In Transit,"Minneapolis, MN"
ORD100053,FedEx,DH7763447547,2025-10-18,2025-10-26,Delivered,"Salt Lake City, UT"
ORD100054,DHL,UP1655432544,2026-02-15,2026-02-22,Delivered,"Miami, FL"
ORD100055,USPS,US4987728980,2026-01-04,2026-01-11,In Transit,"Denver, CO"
ORD100056,DHL,FE2611102142,2026-01-03,2026-01-05,Returned to Sender,"Seattle, WA"
ORD100057,UPS,FE1900388247,2025-11-15,2025-11-18,Delivered,"Denver, CO"
ORD100059,FedEx,DH9057108760,2025-09-27,2025-10-03,Returned to Sender,"Chicago, IL"
ORD100060,FedEx,FE6553755986,2026-06-27,2026-07-06,Delivered,"Minneapolis, MN"
ORD100061,FedEx,UP5423730967,2025-10-21,2025-10-25,Returned to Sender,"Phoenix, AZ"
ORD100062,DHL,FE2750861922,2026-06-17,2026-06-19,Delivered,"Salt Lake City, UT"
ORD100063,FedEx,DH2891571587,2026-06-02,2026-06-10,Delivered,"Denver, CO"
ORD100064,DHL,UP1540448538,2026-01-07,2026-01-10,Delivered,"Portland, OR"
ORD100066,UPS,US7107533494,2025-12-07,2025-12-13,Delivered,"Minneapolis, MN"
ORD100067,DHL,US9640239444,2025-08-17,2025-08-22,Delivered,"Seattle, WA"
ORD100068,DHL,FE8494547983,2026-01-24,2026-01-30,Delivered,"Miami, FL"
ORD100069,FedEx,US2128989501,2026-01-21,2026-01-30,Delivered,"Raleigh, NC"
ORD100070,USPS,UP9045791189,2026-06-24,2026-06-27,Delivered,"Miami, FL"
